Source,Site,Drainage,Sampling Yr,Age,Density,BA,Region
BBL,Thompson-1998,somewhat_poorly,2012,14,,2847,Central Canada
BBL,Thompson-1998,somewhat_poorly,2002,4,,6072,Central Canada
BBL,Thompson-1998,somewhat_poorly,1999,1,,6191,Central Canada
BBL,Thompson-1998,moderately,2012,14,,290,Central Canada
BBL,Thompson-1998,moderately,2007,9,,5883,Central Canada
BBL,Thompson-1998,moderately,2002,4,,6570,Central Canada
BBL,Thompson-1998,moderately,1999,1,,6854,Central Canada
BBL,Thompson-1995,moderately,2012,17,,858,Central Canada
BBL,Thompson-1995,moderately,2007,12,,2372,Central Canada
BBL,Thompson-1995,moderately,2002,7,,9364,Central Canada
BBL,Thompson-1995,moderately,1999,4,,10235,Central Canada
DG,Chisholm'01,poorly,2010,9,,153,Western Canada
DG,HouseRiver2,poorly,2010,8,,149,Western Canada
DG,HR1Burn'02,poorly,2010,8,,91,Western Canada
DG,MarianaLake'95,poorly,2010,15,,8,Western Canada
DG,NodderBogN,poorly,2011,0,,212,Western Canada
DG,NodderBogS,poorly,2011,0,,255,Western Canada
DG,Saltaux'01,poorly,2010,8,,76,Western Canada
DG,Wabasca,poorly,2010,28,,21,Western Canada
DG,BC'06,poorly,2010,4,,250,Western Canada
KLM,DeltaTower,well,2000,1,,3355,Alaska
KLM,DeltaTower,well,2012,13,,824,Alaska
KLM,DeltaCreek,moderately,2000,1,,3950,Alaska
KLM,DeltaCreek,moderately,2012,13,,2946,Alaska
