Source,Site,Drainage,SampleYr,Age,Density,PercentInitial
BBL,Thompson-1998,somewhat_poorly,2012,14,1840,0.4
BBL,Thompson-1998,somewhat_poorly,2002,4,4350,0.94
BBL,Thompson-1998,somewhat_poorly,1999,1,4650,1
BBL,Thompson-1998,moderately,2011,13,2600,0.39
BBL,Thompson-1998,moderately,2007,9,5600,0.84
BBL,Thompson-1998,moderately,2002,4,6450,0.96
BBL,Thompson-1998,moderately,1999,1,6700,1
BBL,Thompson-1995,moderately,2012,17,500,0.1
BBL,Thompson-1995,moderately,2007,12,1350,0.27
BBL,Thompson-1995,moderately,2002,7,4250,0.86
BBL,Thompson-1995,moderately,1999,4,4950,1
DG,Chisholm'01,poorly,2010,9,13867,0.86
DG,HouseRiver2,poorly,2010,8,8400,0.52
DG,HR1Burn'02,poorly,2010,8,11733,0.73
DG,MarianaLake'95,poorly,2010,15,9600,0.6
DG,NodderBogN&S,poorly,2011,0,16133,1
DG,Saltaux'01,poorly,2010,8,4000,0.25
DG,Wabasca,poorly,2010,28,1733,0.11
KLM,DeltaTower,well,2000,1,4604,1
KLM,DeltaTower,well,2012,13,1378,0.3
KLM,DeltaCreek,moderately,2000,1,5421,1
KLM,DeltaCreek,moderately,2012,13,3855,0.71
